Name,Position,Team,Bye,Ringer
Christian McCaffrey,RB,CAR,13,1
Jonathan Taylor,RB,IND,14,2
Justin Jefferson,WR,MIN,7,3
Cooper Kupp,WR,LAR,7,4
Austin Ekeler,RB,LAC,8,5
Jamar Chase,WR,CIN,10,6
Dalvin Cook,RB,MIN,7,7
Derrick Henry,RB,TEN,6,8
Saquon Barkley,RB,NYG,9,9
Stefon Diggs,WR,BUF,7,10
Travis Kelce,TE,KC,8,11
Joe Mixon,RB,CIN,10,12
Ceedee Lamb,WR,DAL,9,13
Najee Harris,RB,PIT,9,14
Alvin Kamara,RB,NO,14,15
Davante Adams,WR,LV,6,16
Leonard Fournette,RB,TB,11,17
Aaron Jones,RB,GB,14,18
D'andre Swift,RB,DET,6,19
Tyreek Hill,WR,MIA,11,20
Mike Evans,WR,TB,11,21
Mark Andrews,TE,BAL,10,22
Deebo Samuel,WR,SF,9,23
Keenan Allen,WR,LAC,8,24
James Conner,RB,ARI,13,25
Tee Higgins,WR,CIN,10,26
K. Pitts,TE,ATL,14,27
Javonte Williams,RB,DEN,9,28
Michael Pittman Jr.,WR,IND,14,29
AJ Brown,WR,PHI,7,30
DJ Moore,WR,CAR,13,31
Ezekiel Elliott,RB,DAL,9,32
Mike Williams,WR,LAC,8,33
Nick Chubb,RB,CLE,9,34
Terry McLaurin,WR,WAS,14,35
Allen Robinson,WR,LAR,7,36
Courtland Sutton,WR,DEN,9,37
Marquise Brown,WR,ARI,13,38
Diontae Johnson,WR,PIT,9,39
DK Metcalf,WR,SEA,11,40
Jaylen Waddle,WR,MIA,11,41
Travis Etienne,RB,JAC,11,42
George Kittle,TE,SF,9,43
Josh Allen,QB,BUF,7,44
Adam Thielen,WR,MIN,7,45
Brandin Cooks,WR,HOU,6,46
Amon-Ra St. Brown,WR,DET,6,47
Michael Thomas,WR,NO,14,48
Jerry Jeudy,WR,DEN,9,49
Darren Waller,TE,LV,6,50
David Montgomery,RB,CHI,14,51
Amari Cooper,WR,CLE,9,52
Gabriel Davis,WR,BUF,7,53
Justin Herbert,QB,LAC,8,54
Lamar Jackson,QB,BAL,10,55
Darnell Mooney,WR,CHI,14,56
Drake London,WR,ATL,14,57
Patrick Mahomes,QB,KC,8,58
Cam Akers,RB,LAR,7,59
Kyler Murray,QB,ARI,13,60
AJ Dillon,RB,GB,14,61
Chris Godwin,WR,TB,11,62
Rashod Bateman,WR,BAL,10,63
Clyde Edwards-Helaire,RB,KC,8,64
Breece Hall,RB,Jets,10,65
Juju Smith-Schuster,WR,KC,8,66
E. Moore,WR,Jets,10,67
Christian Kirk,WR,JAC,11,68
C. Edmonds,RB,MIA,11,69
Elijah Mitchell,RB,SF,9,70
Rashod Penny,RB,SEA,11,71
DeVonta Smith,WR,PHI,7,72
Brandon Aiyuk,WR,SF,9,73
Jalen Hurts,QB,PHI,7,74
Kareem Hunt,RB,CLE,9,75
Antonio Gibson,RB,WAS,14,76
Miles Sanders,RB,PHI,7,77
D. Schultz,TE,DAL,9,78
JK Dobbins,RB,BAL,10,79
D. Goedert,TE,PHI,7,80
Devin Singletary,RB,BUF,7,81
Allen Lazard,WR,GB,14,82
Josh Jacobs,RB,LV,6,83
Tony Pollard,RB,DAL,14,84
Cordarelle Patterson,RB,ATL,9,85
D. Pierce,RB,HOU,6,86
Trey Lance,QB,SF,9,87
T. Hockenson,TE,DET,6,88
